t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
6.295390,0.195130,0.406037,0.763424,-8.795407,33.922534,3.556000,-8.770000,31.567000,2.711000
6.326656,0.195130,0.406037,0.763424,-8.881891,33.792807,3.454988,-8.770000,31.567000,2.711000
6.377658,0.199067,0.405020,0.763635,-8.824122,33.720511,3.440800,-9.056000,31.496000,2.725000
6.408918,0.199067,0.405020,0.763635,-9.242018,33.763754,3.383031,-9.056000,31.496000,2.725000
6.460138,0.202866,0.403975,0.763846,-9.343029,33.634027,3.325262,-9.332000,31.423000,2.739000
6.491398,0.202866,0.403975,0.763846,-9.414987,33.634027,3.426273,-9.332000,31.423000,2.739000
6.542633,0.206512,0.402886,0.764027,-9.616672,33.634027,3.383031,-9.597000,31.347000,2.751000
6.573900,0.206512,0.402886,0.764027,-9.616672,33.735038,3.397557,-9.597000,31.347000,2.751000
6.625211,0.210021,0.401784,0.764208,-9.818356,33.533354,3.498231,-9.852000,31.270000,2.763000
6.656483,0.210021,0.401784,0.764208,-9.977136,33.691796,3.411746,-9.852000,31.270000,2.763000
6.707696,0.213377,0.400666,0.764359,-10.193348,33.417816,3.296546,-10.096000,31.192000,2.773000
6.738957,0.213377,0.400666,0.764359,-10.308548,33.417816,3.498231,-10.096000,31.192000,2.773000
6.789990,0.216595,0.399521,0.764494,-10.279832,33.446869,3.498231,-10.330000,31.112000,2.782000
6.821241,0.216595,0.399521,0.764494,-10.438274,33.403627,3.440800,-10.330000,31.112000,2.782000
6.872425,0.219675,0.398361,0.764630,-10.611243,33.360385,3.556000,-10.554000,31.031000,2.791000
6.903689,0.219675,0.398361,0.764630,-10.582528,33.417816,3.469515,-10.554000,31.031000,2.791000
6.954982,0.222603,0.397186,0.764735,-10.884886,33.417816,3.426273,-10.767000,30.949000,2.798000
6.986253,0.222603,0.397186,0.764735,-11.014613,33.259373,3.512757,-10.767000,30.949000,2.798000
7.040946,0.225407,0.395997,0.764841,-11.000424,33.216131,3.541473,-10.971000,30.866000,2.805000
7.072198,0.225407,0.395997,0.764841,-11.274066,33.187416,3.512757,-10.971000,30.866000,2.805000
7.127713,0.228059,0.394809,0.764931,-11.346362,33.158700,3.556000,-11.164000,30.783000,2.811000
7.158987,0.228059,0.394809,0.764931,-11.418320,33.216131,3.512757,-11.164000,30.783000,2.811000
7.212232,0.230573,0.393620,0.765007,-11.490277,33.129647,3.512757,-11.347000,30.700000,2.816000
7.243485,0.230573,0.393620,0.765007,-11.706489,33.100931,3.339788,-11.347000,30.700000,2.816000
7.292846,0.232936,0.392417,0.765082,-11.648720,32.798235,3.325262,-11.519000,30.616000,2.821000
7.324105,0.232936,0.392417,0.765082,-11.735204,32.913435,3.454988,-11.519000,30.616000,2.821000
7.371828,0.235175,0.391228,0.765157,-11.922700,32.884720,3.454988,-11.682000,30.533000,2.826000
7.403100,0.235175,0.391228,0.765157,-11.994658,32.726277,3.498231,-11.682000,30.533000,2.826000
7.454760,0.237276,0.390039,0.765203,-11.980469,32.899246,3.584715,-11.835000,30.450000,2.829000
7.486026,0.237276,0.390039,0.765203,-12.110196,32.856004,3.512757,-11.835000,30.450000,2.829000
7.558646,0.239240,0.388850,0.765263,-12.239922,32.596551,3.454988,-11.978000,30.367000,2.833000
