t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
3.694316,0.232272,0.397468,0.765708,-11.677773,33.172889,3.642484,-16.599383,27.674434,51.400305
3.749516,0.236621,0.395071,0.765859,-11.879458,32.985731,3.512757,-16.915383,27.507434,51.410305
3.780771,0.236621,0.395071,0.765859,-12.037900,32.899246,3.570526,-16.915383,27.507434,51.410305
3.828664,0.240418,0.392702,0.765995,-12.167627,33.028973,3.469515,-17.191383,27.342434,51.419305
3.859924,0.240418,0.392702,0.765995,-12.311880,32.683035,3.498231,-17.191383,27.342434,51.419305
3.904843,0.243678,0.390347,0.766130,-12.585523,32.769520,3.498231,-17.428383,27.178434,51.428305
3.936107,0.243678,0.390347,0.766130,-12.672007,32.697224,3.541473,-17.428383,27.178434,51.428305
3.987327,0.246415,0.388036,0.766266,-12.758492,32.596551,3.454988,-17.627383,27.017434,51.437305
4.018583,0.246415,0.388036,0.766266,-12.773018,32.466824,3.671200,-17.627383,27.017434,51.437305
4.069682,0.248615,0.385781,0.766446,-13.017945,32.495539,3.498231,-17.787383,26.860434,51.449305
4.100939,0.248615,0.385781,0.766446,-13.061187,32.322570,3.657011,-17.787383,26.860434,51.449305
4.151999,0.250306,0.383570,0.766657,-13.104430,32.351624,3.584715,-17.910383,26.706434,51.463305
4.183260,0.250306,0.383570,0.766657,-13.234156,32.178655,3.584715,-17.910383,26.706434,51.463305
4.234450,0.251502,0.381431,0.766913,-13.306114,32.063117,3.570526,-17.997383,26.557434,51.480305
4.265722,0.251502,0.381431,0.766913,-13.479083,32.034401,3.527284,-17.997383,26.557434,51.480305
4.317240,0.252203,0.379348,0.767260,-13.378410,31.919201,3.613769,-18.048383,26.412434,51.503305
4.348501,0.252203,0.379348,0.767260,-13.450368,31.991159,3.627957,-18.048383,26.412434,51.503305
4.399432,0.252423,0.377324,0.767697,-13.479083,31.861432,3.642484,-18.064383,26.271434,51.532305
4.430702,0.252423,0.377324,0.767697,-13.594621,31.803663,3.671200,-18.064383,26.271434,51.532305
4.481843,0.252176,0.375371,0.768224,-13.450368,31.803663,3.512757,-18.046383,26.135434,51.567305
4.513114,0.252176,0.375371,0.768224,-13.479083,31.558737,3.714442,-18.046383,26.135434,51.567305
4.564120,0.251475,0.373461,0.768887,-13.508137,31.515494,3.800926,-17.995383,26.002434,51.611305
4.595389,0.251475,0.373461,0.768887,-13.551379,31.501306,3.657011,-17.995383,26.002434,51.611305
4.646530,0.250334,0.371608,0.769685,-13.608810,31.371579,3.743495,-17.912383,25.873434,51.664305
4.677797,0.250334,0.371608,0.769685,-13.320641,31.299283,3.757684,-17.912383,25.873434,51.664305
