t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
4.481843,0.252176,0.375371,0.768224,-13.450368,31.803663,3.512757,-12.022716,30.331199,3.664768
4.513114,0.252176,0.375371,0.768224,-13.479083,31.558737,3.714442,-12.022716,30.331199,3.664768
4.56412,0.251475,0.373461,0.768887,-13.508137,31.515494,3.800926,-11.971716,30.198199,3.70876800000001
4.595389,0.251475,0.373461,0.768887,-13.551379,31.501306,3.657011,-11.971716,30.198199,3.70876800000001
4.64653,0.250334,0.371608,0.769685,-13.60881,31.371579,3.743495,-11.888716,30.069199,3.761768
4.677797,0.250334,0.371608,0.769685,-13.320641,31.299283,3.757684,-11.888716,30.069199,3.761768
4.729078,0.248766,0.369799,0.770619,-13.450368,31.112125,3.829642,-11.774716,29.943199,3.82376800000001
4.760338,0.248766,0.369799,0.770619,-13.37841,31.212799,3.743495,-11.774716,29.943199,3.82376800000001
4.811697,0.246786,0.368033,0.771734,-13.363883,31.054356,3.844169,-11.630716,29.820199,3.89776800000001
4.842957,0.246786,0.368033,0.771734,-13.291925,31.097599,3.872884,-11.630716,29.820199,3.89776800000001
4.893894,0.244393,0.366281,0.77303,-13.046998,30.996587,3.829642,-11.456716,29.698199,3.98376800000001
4.925156,0.244393,0.366281,0.77303,-13.205441,30.939156,4.074907,-11.456716,29.698199,3.98376800000001
4.976401,0.241629,0.364543,0.774506,-12.98923,30.794903,4.031664,-11.255716,29.577199,4.081768
5.007658,0.241629,0.364543,0.774506,-12.945987,30.751661,4.074907,-11.255716,29.577199,4.081768
5.05889,0.238492,0.362805,0.776193,-12.830787,30.679703,4.118149,-11.027716,29.456199,4.19376800000001
5.090141,0.238492,0.362805,0.776193,-12.816261,30.621934,4.118149,-11.027716,29.456199,4.19376800000001
5.141444,0.235011,0.361053,0.778091,-12.643291,30.766187,4.348549,-10.774716,29.334199,4.319768
5.172713,0.235011,0.361053,0.778091,-12.455796,30.564503,4.218822,-10.774716,29.334199,4.319768
5.224123,0.231184,0.359258,0.7802,-12.297353,30.549976,4.363076,-10.496716,29.209199,4.459768
5.255381,0.231184,0.359258,0.7802,-12.210869,30.578692,4.291118,-10.496716,29.209199,4.459768
5.3062,0.227054,0.357434,0.782534,-12.138911,30.377007,4.44956,-10.196716,29.082199,4.61476800000001
5.337473,0.227054,0.357434,0.782534,-11.937227,30.377007,4.507329,-10.196716,29.082199,4.61476800000001
